Название товара;Артикул;Идентификатор товара в магазине;Остаток;Цена продажи;Старая цена;Закупочная цена
"Столовый сервиз на 6 персон ""Блеск"", 23 пр.";N52033-52534;75804381;2;82680;;47300
"Чайный сервиз на 6 персон ""Блеск"", 17 пр.";N52033-52676;75804389;2;51600;;29540
"Чашка с блюдцем ""Блеск"", 0.24 л";N52033-23077;75804395;;3590;;2066
"Кофейный набор ""Бриз"" 6 чашек 0.11л + 6 блюдец";N96543-52566AL;34804622;3;21929;;12183
"Набор из 2 салатников ""Бриз"" 14 см";N96543-54593AL;34804623;2;4390;;2567
"Набор из 6 десертных тарелок ""Бриз"" 21 см";N96543-54592AL;34804624;10;15361;;8534
"Набор из 6 обеденных тарелок ""Бриз"" 27 см";N96543-54576AL;34804625;3;22036;;12242
"Обеденный сервиз 26 предметов на 6 персон ""Бриз""";N96543-52619AL;34804626;;111070;;63506
"Салатник ""Бриз"" 23 см";N96543-54597AL;34804627;2;8000;;4593
"Столовый сервиз на 6 персон ""Бриз"", 25 пр.";N96543-52644AL;38172148;;94680;;54137
"Чайный сервиз 17 предметов на 6 персон ""Бриз""";N96543-52564AL;34804628;5;54157;;30087
"Чашка с блюдцем ""Бриз"" 0.24л";N96543-54591AL;34804629;10;4147;;2304
"Кофейный набор на 6 персон ""Бриз Голд"", 12 пр., 0.11 л";N96732-52566;63732296;6;27412;;15229
"Набор обеденных тарелок ""Бриз Голд"", 27 см, 6 шт.";N96732-54576;63732298;2;26780;;15303
"Набор салатников ""Бриз Голд"", 14 см, 2 шт.";N96732-54693;63732297;;4390;;2567
"Салатник ""Бриз Голд"", 23 см";N96732-3556;63732300;;7100;;4097
"Столовый сервиз на 6 персон ""Бриз Голд"", 25 пр.";N96732-52644;63732299;2;121810;;67672
"Чайный сервиз на 6 персон ""Бриз Голд"", 17 пр.";N96732-52564;63732301;3;67696;;37609
"Чашка с блюдцем ""Бриз Голд"", 0.24 л";N96732-54591;63732302;0;5184;;2880
"Блюдо 30 см. ""Версаль""";N50832-1670AL;16720758;;2900;;1707
"Молочник (0,175 л.) ""Версаль""";N50832-4357AL;16720804;;3000;;1768
"Набор для специй: солонка, перечница ""Версаль""";N50832-59060AL;16720814;;2700;;1583
"Набор из 6 десертных тарелок 19 см. ""Версаль""";N50832-1558AL;16720872;;4590;;2640
"Набор из 6 обеденных тарелок 27 см. ""Версаль""";N50832-1557AL;16720884;;7890;;4545
"Набор из 6 салатников 13 см. ""Версаль""";N50832-1857AL;16720823;;3290;;1907
"Набор из 6 суповых тарелок 23 см. ""Версаль""";N50832-1646AL;16720893;;13790;;7897
"Набор: 6 чашек 0,24л + 6 блюдец ""Версаль""";N50832-54523AL;16720930;;9290;;5362
"Обеденный сервиз 51 предмет на 12 персон ""Версаль""";N50832-53447AL;16720145;;73680;;42155
"Обеденный сервиз из 27 предметов на 6 персон ""Версаль""";N50832-52522AL;16720155;;68380;;39121
"Обеденный сервиз из 48 предметов на 12 персон ""Версаль""";N50832-53453AL;16720160;;68610;;39207
"Овальное блюдо 32 см. ""Версаль""";N50832-1221AL;16720775;;6890;;3990
"Овальное блюдо 38 см. ""Версаль""";N50832-1220AL;16720779;;6090;;3517
"Овальное блюдо 44 см. ""Версаль""";N50832-1219AL;16720791;;9390;;5426
"Салатник 22 см. ""Версаль""";N50832-3279AL;16720836;;3790;;2176
"Сахарница (0,25 л.) с крышкой ""Версаль""";N50832-4358AL;16720848;;1900;;1108
"Соусник на блюдце ""Версаль""";N50832-59097AL;16720858;;7590;;4375
"Супница (2,4 л.) с крышкой ""Версаль""";N50832-3356AL;16720869;;17090;;9775
"Суповая чашка на блюдце 0,34л ""Версаль""";N50832-54505AL;16720939;;5000;;2876
"Чайник (0,6 л.) с крышкой ""Версаль""";N50832-4416AL;16720907;;13100;;7529
"Чайный сервиз 17 предметов на 6 пресон ""Версаль""";N50832-52302AL;20345689;;36100;;20680
"Чайный сервиз 41 предмет на 12 персон ""Версаль""";N50832-52511AL;16720274;;60590;;34665
"Чашка (0,2 л.) с блюдцем ""Версаль""";N50832-20347AL;16720941;6;2700;;1581
"Кружка ""Воспоминание"" без инд.упаковки, 0.35 л";N8967-2685;75804352;999;2531;;1406
"Кружка ""Воспоминание"", 0.31 л";N8967-54605GBAL;75804351;999;3089;;1716
"Набор для торта: блюдо + лопатка ""Воспоминание"", 29.5 см";N92775-51159AL;75804357;9;9805;;5447
"Набор из 6 обеденных тарелок ""Воспоминание"", 27 см";N8967-51671GBAL;75804361;2;19292;;10718
"Набор из 6 суповых тарелок ""Воспоминание"" в подарочной упаковке, 19 см";N8967-51784GBAL;75804368;0;17183;;9546
"Набор из 6 тарелок ""Воспоминание"", 17 см";N8967-51644;75804371;;11490;;6586
"Столовый сервиз на 6 персон ""Воспоминание"", 23 пр.";N8967-52711;75804382;0;79787;;44326
"Чайный набор на 6 персон ""Воспоминание"", 12 пр., 0.2 л";N8967-22026AL;75804377;6;22354;;12419
"Чайный сервиз на 6 персон ""Воспоминание"", 17 пр.";N8967-24078AL;75804390;11;48956;;27198
"Чашка с блюдцем ""Воспоминание"", 0.2 л";N8967-54604GBAL;75804396;2;3724;;2069
"Блюдо 32 см. ""Грегори""";N50844-3456AL;16720766;;9690;;5581
"Блюдо 42 см. ""Грегори""";N50844-3457AL;16720767;;7190;;4168
"Блюдо квадратное 29 см. ""Грегори""";N50844-5246AL;16720768;16;3400;;1889
"Молочник (0,225 л.)  ""Грегори""";N50844-4550AL;16720808;;3100;;1810
"Набор для специй: солонка, перечница ""Грегори""";N50844-51685AL;16720816;;3900;;2238
"Набор из 6 десертных тарелок 21 см. ""Грегори""";N50844-54339AL;16720882;0;17246;;9581
"Набор из 6 обеденных тарелок 28 см ""Грегори""";N50844-54484AL;31081929;;26990;;15461
"Набор из 6 обеденных тарелок 28 см. ""Грегори""";N50844-5240AL;16720892;;20400;;11700
"Набор из 6 салатников ""Грегори"", 14 см";N50844-51816AL;75804366;2;27992;;15551
"Набор из 6 салатников 14 см. ""Грегори""";N50844-3459AL;16720827;2;27992;;15551
"Набор из 6 суповых тарелок 26 см ""Грегори""";N50844-54485AL;31081932;;28800;;16508
"Набор из 6 суповых тарелок 26 см. ""Грегори""";N50844-5248AL;16720903;;22400;;12840
"Набор: 6 чашек (0,15 л.) + 6 блюдец ""Грегори""";N50844-54475AL;16720921;;25390;;14545
"Обеденный сервиз из 27 предметов на 6 персон ""Грегори""";N50844-52523AL;16720156;;108380;;61968
"Салатник 24 см. ""Грегори""";N50844-3454AL;16720843;;6600;;3820
"Сахарница (0,4 л.) с крышкой ""Грегори""";N50844-4551AL;16720854;;3700;;2139
"Соусник на блюдце ""Грегори""";N50844-3483AL;16720860;;8100;;4666
"Столовый сервиз на 6 персон ""Грегори"", 23 пр.";N50844-52444AL;57120206;;92580;;52966
"Столовый сервиз на 6 персон ""Грегори"", 25 пр.";N50844-52663AL;75804386;;125500;;71717
"Супница (2,0 л.) с крышкой ""Грегори""";N50844-3541AL;16720868;;18400;;10545
"Чайник (1,2 л.) с крышкой ""Грегори""";N50844-4552AL;16720917;;18390;;10525
"Чайный сервиз из 17 предметов на 6 персон ""Грегори""";N50844-52347AL;16720289;9;53685;;29825
"Чашка с блюдцем 0,33л ""Грегори""";N50844-51734AL;16720950;0;4379;;2433
"Кружка ""Луна"" без инд.упаковки, 0.35 л";N50200-2685;75804353;;2400;;1406
"Набор из 6 обеденных тарелок ""Луна"", 27 см";N50200-51645GBAL;75804362;;18800;;10752
"Набор из 6 суповых тарелок ""Луна"", 23 см";N50200-51649;75804369;;23100;;13246
"Набор из 6 тарелок ""Луна"", 23 см";N50200-51646GBAL;75804372;;17190;;9866
"Столовый сервиз на 6 персон ""Луна"", 23 пр.";N50200-52712;75804383;;90520;;51726
"Чайный сервиз на 6 персон ""Луна"", 17 пр.";N50200-52302AL;75804391;;54290;;31059
"Блюдо 30 см. ""Наслаждение""";N51229-1670AL;16720760;;1900;;1127
"Кружка (0,35 л.) ""Наслаждение""";N51229-2685AL;16720799;;2100;;1237
"Молочник (0,175 л.) ""Наслаждение""";N51229-4357AL;16720807;2;3362;;1868
"Набор для специй: солонка, перечница ""Наслаждение""";N51229-59060AL;16720819;4;2657;;1476
"Набор для торта: блюдо 30см + лопатка ""Наслаждение""";N51229-51159AL;16720772;;4500;;2578
"Набор из 6 десертных тарелок 19 см. ""Наслаждение""";N51229-1558AL;16720875;;7300;;4181
"Набор из 6 обеденных тарелок 27 см. ""Наслаждение""";N51229-1557AL;16720888;;14900;;8529
"Набор из 6 салатников 13 см. ""Наслаждение""";N51229-1857AL;16720826;;7300;;4193
"Набор из 6 суповых тарелок 23 см. ""Наслаждение""";N51229-1646AL;16720897;;23290;;13328
"Набор: чашка (0,2 л.) с блюдцем ""Наслаждение""";N51229-20347AL;16720905;;2624;;1458
"Обеденный сервиз 27 предметов на 6 персон ""Наслаждение""";N51229-52522AL;16720135;;107380;;61400
"Обеденный сервиз 28 предметов на 6 персон ""Наслаждение""";N51229-52498AL;18718521;;129760;;74195
"Обеденный сервиз 51 предмет на 12 персон ""Наслаждение""";N51229-53447AL;16720147;;105710;;60406
"Овальное блюдо 33 см. ""Наслаждение""";N51229-1221AL;16720778;;3990;;2320
"Овальное блюдо 38 см. ""Наслаждение""";N51229-1220AL;16720784;;8090;;4649
"Овальное блюдо 41см ""Наслаждение""";N51229-1126AL;16720789;;19000;;10890
"Овальное блюдо 44 см. ""Наслаждение""";N51229-1219AL;16720794;;5000;;2867
"Салатник 13см ""Наслаждение""";N51229-1857-1-AL;16720834;;700;;422
"Салатник 22 см. ""Наслаждение""";N51229-3279AL;16720839;;3990;;2301
"Сахарница (0,25 л.) с крышкой ""Наслаждение""";N51229-4358AL;16720851;2;4637;;2576
"Соусник на блюдце ""Наслаждение""";N51229-59097AL;16720862;10;4993;;2774
"Супница (1,6 л.) с крышкой ""Наслаждение""";N51229-3283AL;16720865;4;10847;;6026
"Чайник (0,6 л.) с крышкой ""Наслаждение""";N51229-4416AL;16720910;5;14326;;7959
"Чайный сервиз 17 предметов на 6 персон ""Наслаждение""";N51229-52302AL;18718525;2;38711;;21506
"Чайный сервиз 41 предмет на 12 персон ""Наслаждение""";N51229-52511AL;16720279;;94090;;53801
"Чайный сервиз на 6 персон ""Наслаждение"", 17 пр.";N51229-52302/1-AL;60317739;;58800;;33603
"Кружка ""Ноктюрн"", 0.37 л";N50685-54527GBAL;75804354;2;5000;;2886
"Кружка 0.35л ""Ноктюрн"" в подарочной упаковке, 0.35 л";N50685-54605GB;75804350;999;5195;;2886
"Набор из 6 обеденных тарелок ""Ноктюрн"", 27 см";N50685-51645GBAL;75804363;0;25855;;14364
"Набор из 6 тарелок ""Ноктюрн"" в подарочной упаковке, 23 см";N50685-51646GBAL;75804375;0;21175;;11764
"Набор из 6 тарелок ""Ноктюрн"", 23 см";N50685-51646;75804373;;21790;;12506
"Столовый сервиз на 6 персон ""Ноктюрн"", 23 пр.";N50685-52712;75804384;0;119747;;66526
"Чайный набор на 6 персон ""Ноктюрн"", 12 пр., 0.24 л";N50685-22061AL;75804378;0;28195;;15664
"Чайный сервиз на 6 персон ""Ноктюрн"", 17 пр.";N50685-52302AL;75804392;0;66629;;37016
"Чашка с блюдцем ""Ноктюрн"", 0.24 л";N50685-54525GBAL;75804397;0;4698;;2610
