Артикул;Код сайта;Наименование;Цена опт;РРЦ;Материал;Наличие на складе;Остаток;Бренд;Страна производства;Страна ТМ;Категория;Категория 2;Размеры;Вид упаковки;Ссылка на фото;;Штрих-код;Вес;Серия;
010.023305.003;45286;Крышка для пакетов AdHoc, серия BAGSY, белый;501;683;Пластик;На складе;2;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Крышки;-;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9108.jpg;Распродажа;4037571212651;0.15;Кухонные аксессуары;
010.023305.004;45287;Крышка для пакетов AdHoc, серия BAGSY, красный;501;683;Пластик;На складе;2;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Крышки;-;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9109.jpg;Распродажа;4037571212668;0.15;Кухонные аксессуары;
010.050201.001;46448;Чайник с ситечком для заваривания AdHoc;4791;6533;Нержавеющая сталь, стекло;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Предметы сервировки стола;Чайники, кофейники;1,5 л;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10232.jpg;;4037571216093;1.02;Аксессуары для чая;
010.050400.004;39147;Ситечко для заваривания ча AdHoc, серия FLOATEA, красный;323;440;Нержавеющая сталь, пластик;На складе;2;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Чайные, кофейные аксессуары;4 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7505.jpg;Распродажа;4037571211760;0.05;Аксессуары для чая;
010.050400.011;39154;Ситечко для заваривания чая AdHoc, серия HANGTEA, большое, черный;1166;1590;Нержавеющая сталь, пластик, силикон;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Чайные, кофейные аксессуары;4 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7523.jpg;;4037571211968;0.08;Аксессуары для чая;
010.060200.010;39175;Охладитель для белого вина  AdHoc, серия VINOTAS DROP;777;1060;Нержавеющая сталь, пластик;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Винные аксессуары;Для вина;18 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7514.jpg;;4037571221608;0.03;Винные аксессуары;
010.060200.017;45289;Многофункциональная воронка для вина (6 функций) AdHoc, серия ICEPOUR;937;1278;Нержавеющая сталь, пластик, акрил;На складе;2;Adhoc;КИТАЙ;Германия;Винные аксессуары;Для вина;-;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/9831.jpg;Распродажа;4037571221967;0.20;Винные аксессуары;
010.060200.018;46446;Пробка/воронка для бутылки AdHoc;678;925;Нержавеющая сталь, пластик, силикон;На складе;3;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;3,5x3,5x6,5 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10231.jpg;Распродажа;4037571221950;0.19;Винные аксессуары;
010.060200.021;48357;Пробка для бутылки AdHoc, серия CHAMP;645;880;Нержавеющая сталь, силикон;На складе;3;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;4,5х4,5х3,5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11529.jpg;Распродажа;4037571222018;0.00;Винные аксессуары;
010.060200.022;48358;Пробка/воронка для бутылки AdHoc, серия CHAMP;655;893;Нержавеющая сталь, силикон;На складе;3;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;4,5х4,5х5,5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11530.jpg;Распродажа;4037571222025;0.00;Винные аксессуары;
010.060200.023;48359;Термометр для вина/пробка для бутылки AdHoc, серия CHAMP;819;1117;Нержавеющая сталь, силикон;На складе;3;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;4,7х4,7х15см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11531.jpg;Распродажа;4037571222032;0.00;Винные аксессуары;
010.060200.026;54888;Пробка для бутылки AdHoc, серия GUSTO, прозрачный;329;449;Нержавеющая сталь, пластик, силикон;На складе;3;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;5х5х3,5см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12879.jpg;Распродажа;4037571386277;0.00;Винные аксессуары;
010.060200.027;54889;Пробка/воронка для бутылки AdHoc, серия GUSTO, прозрачный;327;446;Нержавеющая сталь, пластик, силикон;На складе;3;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;5х5х6,2см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12880.jpg;Распродажа;4037571386284;0.00;Винные аксессуары;
010.060200.029;56122;Термометр/воронка/пробка AdHoc, серия CHAMP;1968;2684;Нержавеющая сталь, силикон;На складе;2;Adhoc;КИТАЙ;Германия;Винные аксессуары;Пробки для бутылок;15x4,5x4,5 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13868.jpg;Распродажа;4037571386147;0.00;Винные аксессуары;
